source,simplification,sentence_id,simplification_type,system_name,aspect,rating
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,85
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,95
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,fluency,95
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,100
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,95
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,fluency,90
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,90
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,fluency,89
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,86
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,fluency,100
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,59
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,63
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,simplicity,28
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,meaning,17
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,fluency,45
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,99
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,35
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,fluency,97
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,simplicity,21
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,meaning,33
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,fluency,51
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,100
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,80
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,fluency,86
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,fluency,32
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,0
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,fluency,100
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,meaning,29
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,fluency,30
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,simplicity,5
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,fluency,100
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,100
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,100
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,62
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,73
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,fluency,45
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,73
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,92
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,89
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,fluency,100
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,simplicity,21
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,100
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,100
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,fluency,100
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,8
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,meaning,43
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,fluency,100
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,100
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,22
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,fluency,100
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,95
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,fluency,94
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,82
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,100
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,meaning,1
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,fluency,1
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,49
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,fluency,83
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,74
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,fluency,59
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,60
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,80
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,fluency,90
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,29
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,100
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,fluency,94
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,9
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,fluency,79
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,96
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,simplicity,1
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,27
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,fluency,10
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,31
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,100
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,fluency,15
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,75
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,59
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,fluency,51
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,30
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,0
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,100
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,fluency,100
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,100
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,100
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,fluency,62
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,85
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,29
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,75
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,fluency,100
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,65
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,100
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,simplicity,12
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,meaning,41
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,meaning,37
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,fluency,38
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,76
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,77
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,fluency,98
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,simplicity,1
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,meaning,4
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,fluency,1
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,simplicity,72
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,meaning,83
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,fluency,46
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,100
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,96
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,fluency,95
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,simplicity,79
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,meaning,78
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,fluency,54
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,simplicity,36
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,100
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,simplicity,28
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,fluency,5
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,simplicity,3
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,fluency,93
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,meaning,100
"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.",Many people who receive the Kate Greenaway medal also win the Colin Mears award. its worth £5000.,7,human,asset,simplicity,100
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,fluency,24
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,simplicity,1
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,meaning,37
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,fluency,25
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,simplicity,4
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,meaning,100
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,fluency,4
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,simplicity,29
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,meaning,41
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,fluency,11
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,simplicity,1
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,meaning,1
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the host of the Kate Greenaway medal has also been made with the Colin Mears price to the value of £5000.",7,system,SBMT-SARI.tok.low,fluency,100
